point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
39,-33.0273,15.949174673663883,-32.533027999999995,15.98356303378359,15.98356303378359,162.218,-8.156897870071948,163.120421,-7.657973147703633,-6.0,-37.8451,359.3710546835988,-37.8068517,360.2710674490794,360.2710674490794,-0.494272,-0.03438836011970658,-0.902421,-0.49892472236832336,-0.0382483,-0.900012765480616,-2.36547,-138.022,0.7540726595808159,-0.8915730203682415,240.0
40,-30.9358,7.369446116033011,-30.436914,7.501590095199603,7.501590095199603,127.437,-6.244469081366745,128.269116,-5.741300829333813,-4.2723349443836875,-46.5757,324.5422361824924,-46.44,325.3723436792726,325.4457919735201,-0.498886,-0.13214397916659346,-0.832116,-0.5031682520329329,-0.1357,-0.830107496780186,-2.36547,-138.022,-0.2023374649797543,-0.8216823059394368,149.0
41,-33.0554,21.18810438047045,-32.685857,21.192265861645602,21.192265861645602,183.217,-8.076904600066559,184.16248800000002,-7.7024824999683865,-6.0,-32.5152,380.3928016735255,-32.5069804,381.33639477247436,381.33639477247436,-0.369543,-0.0041614811751591934,-0.945488,-0.37442210009817317,-0.0082196,-0.9435930989488328,-2.36547,-138.022,0.6292200023924405,-0.46544209101025447,328.0
42,-30.7384,7.017363633429163,-30.246838999999998,7.1580727442488055,7.1580727442488055,124.782,-6.06076130519055,125.608592,-5.56494712442851,-4.139076730049455,-46.9393,321.8847023238729,-46.795058000000004,322.7093607735277,322.78065429324664,-0.491561,-0.14070911081964427,-0.826592,-0.4958141807620415,-0.144242,-0.8246584496548184,-2.36547,-138.022,-0.3235692360297407,0.11226259541111784,148.0
43,-33.1543,26.42618455449333,-32.880989,26.41595725308772,26.41595725308772,204.018,-8.068733179595757,205.01328900000001,-7.790283463853513,-6.0,-27.187,401.21691154429595,-27.19294444,402.2107403059173,402.2107403059173,-0.273311,0.010227301405609136,-0.995289,-0.2784497157422461,0.00594444,-0.9938287616212452,-2.36547,-138.022,0.5097405331873133,-0.11570387763308645,416.0
44,-30.5596,6.691166128822353,-30.0757,6.840158159933424,6.840158159933424,122.13,-5.8956396939927025,122.950879,-5.407516535546499,-4.006016889603109,-47.277,319.2303766309413,-47.124499,320.0493975481015,320.1194725303987,-0.4839,-0.1489920311110691,-0.820879,-0.4881231584462065,-0.152501,-0.8190209171602112,-2.36547,-138.022,-0.43418810309994577,-0.9522101247366179,148.0
45,-32.3531,14.672713678718523,-31.849045999999998,14.729500028073815,14.729500028073815,151.764,-7.536617414147074,152.653173,-7.027980914329277,-5.493770091672914,-39.1669,348.90808578766126,-39.1063118,349.7948970539505,349.8716075950833,-0.504054,-0.056786349355298256,-0.889173,-0.5086364998177947,-0.0605882,-0.8868112662892198,-2.36547,-138.022,0.35773111094364796,0.9486468228097445,237.0
46,-33.162,26.378473324628004,-32.881245,26.366750140400004,26.366750140400004,201.503,-8.089421905144572,202.493675,-7.803552013969082,-6.0,-27.2456,398.70175469517665,-27.25306103,399.6909245397446,399.6909245397446,-0.280755,0.011723184227998805,-0.990675,-0.28586989117549366,0.00746103,-0.9891698445679877,-2.36547,-138.022,0.492026114335087,0.8763698158978515,415.0
47,-30.2417,6.1003320836056005,-29.773496,6.265776254071753,6.265776254071753,116.834,-5.605059159146862,117.642914,-5.132694816391439,-3.7403939899087897,-47.8908,313.9301968802088,-47.721897,314.73740517438034,314.8070202157045,-0.468204,-0.16544417046615054,-0.808914,-0.4723643427554249,-0.168903,-0.8072082941714714,-2.36547,-138.022,-0.6390963278718709,0.9228089437206674,146.0
48,-33.0741,20.98716607450681,-32.670619,21.000478962169183,21.000478962169183,175.604,-8.13491785210535,176.535716,-7.726630025899674,-6.0,-32.7491,372.7790583648956,-32.731791799999996,373.70874381044587,373.70874381044587,-0.403481,-0.013312887662366461,-0.931716,-0.40828782620567355,-0.0173082,-0.9296854455502344,-2.36547,-138.022,0.560176028141187,0.4834975241783468,326.0
49,-32.0565,14.105861294416833,-31.557408,14.177642062722256,14.177642062722256,146.541,-7.266961251610624,147.420995,-6.763335205614613,-5.231959295491859,-39.7564,343.68111963281035,-39.6808565,344.5588434978133,344.63541229331946,-0.499092,-0.07178076830542356,-0.879995,-0.5036260459960064,-0.0755435,-0.8777238650028769,-2.36547,-138.022,0.18399555003105172,0.8541686815337874,236.0
50,-32.9747,20.76182226951005,-32.560123,20.780971083291575,20.780971083291575,173.03,-8.048799683439352,173.958641,-7.6294323214325175,-6.0,-32.9856,370.20357927327325,-32.9624702,371.1301576756536,371.1301576756536,-0.414577,-0.019148813781525394,-0.928641,-0.4193673620068276,-0.0231298,-0.926578402380343,-2.36547,-138.022,0.4811524015089822,-0.5479369297385575,326.0
51,-29.905,5.477182414540614,-29.45045,5.656704393442524,5.656704393442524,111.519,-5.2957746423483485,112.31584500000001,-4.837127504500746,-3.4737530717527236,-48.537,308.6107801486721,-48.35407,309.4060509896014,309.4742197112388,-0.45455,-0.17952197890191224,-0.796845,-0.45864713784759825,-0.18293,-0.7952708409292532,-2.36547,-138.022,-0.8570061676631104,0.7896887241202692,145.0
52,-32.8817,20.54966473572083,-32.455516,20.5726205650763,20.5726205650763,170.459,-7.969066905041963,171.381905,-7.538122610842649,-6.0,-33.2089,367.6311903318424,-33.1819891,368.5519892762543,368.5519892762543,-0.426184,-0.022955829355472364,-0.922905,-0.43094429419931757,-0.0269109,-0.920798944411954,-2.36547,-138.022,0.4061454648821165,0.4207957105017158,325.0
53,-29.7335,5.1616317335327295,-29.285191,5.34773421847337,5.34773421847337,108.856,-5.138010545153268,109.646801,-4.685636032813566,-3.3401465536475596,-48.8641,305.9455383150551,-48.674615,306.7348259170385,306.8021003909968,-0.448309,-0.18610248494064432,-0.790801,-0.452374512339708,-0.189485,-0.789287601983364,-2.36547,-138.022,-0.9659328187066818,-0.27915901499084084,145.0
54,-32.81,20.367100544562796,-32.371878,20.39085042379815,20.39085042379815,167.889,-7.910630861260806,168.80809200000002,-7.4677684827355115,-6.0,-33.4026,365.0600395706017,-33.3749127,365.9769672929798,365.9769672929798,-0.438122,-0.023749879235352062,-0.919092,-0.44286237852529736,-0.0276873,-0.916927722378097,-2.36547,-138.022,0.34070755964293,-0.6092130828080826,325.0
55,-29.5578,4.842198811705998,-29.117481,5.037873350663773,5.037873350663773,106.189,-4.976066881167668,106.974047,-4.531712693730441,-3.2063072306459777,-49.1951,303.2762579883386,-48.996067,304.0598743397653,304.1261446129195,-0.440319,-0.19567453895777942,-0.785047,-0.44435418743722804,-0.199033,-0.783616351426655,-2.36547,-138.022,0.9225554546902504,0.6504578451678074,60.0
56,-31.4071,12.892870501885298,-30.924824,12.993971128031816,12.993971128031816,136.047,-6.671691788361247,136.90591899999998,-6.184992560020017,-4.7056514042116655,-41.0149,333.1785538512723,-40.910126,334.03541563396675,334.10938269175716,-0.482276,-0.10110062614651484,-0.858919,-0.4866992283412345,-0.104774,-0.8568617826944903,-2.36547,-138.022,-0.19816288957927106,0.6437567130045867,234.0
57,-31.2435,12.591971714936129,-30.766759,12.700858115097304,12.700858115097304,133.418,-6.521653025338338,134.271981,-6.040514807372986,-4.573817567448448,-41.3272,330.5474161407715,-41.214661,331.3994022516341,331.47273711363033,-0.476741,-0.10888640016117912,-0.853981,-0.48113821796535294,-0.112539,-0.8519861108626131,-2.36547,-138.022,-0.29311971612537857,-0.410901549325585,234.0
58,-32.9316,20.40629649019254,-32.477054,20.437863616975108,20.437863616975108,162.829,-8.058371812035237,163.740553,-7.5991251758596725,-6.0,-33.3853,360.0008575627772,-33.3498296,360.9101953128457,360.9101953128457,-0.454546,-0.03156712678257442,-0.911553,-0.4592466361755672,-0.0354704,-0.9093377500685257,-2.36547,-138.022,0.357632478435823,-0.6359218748617196,324.0
