x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-30.9833,130.119,-26.7649,-0.744009,-1.64537,-2.78271,6654.22,-3.56323,-286.308
-27.0906,37.1349,-51.5331,-2.06145,-1.26828,-3.81759,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-32.6775,182.491,-12.7825,-0.303564,-1.98135,-2.08739,6654.22,-3.56323,-286.308
-28.077,65.0897,-43.8923,-1.63076,-1.31763,-3.60429,6654.22,-3.56323,-286.308
-32.3464,156.637,-18.9391,-0.512821,-1.82412,-2.40985,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-32.6793,179.985,-12.8874,-0.316448,-1.97214,-2.11882,6654.22,-3.56323,-286.308
-32.2278,154.07,-19.2235,-0.52161,-1.81396,-2.44836,6654.22,-3.56323,-286.308
-26.985,31.7336,-51.9009,-2.09366,-1.27015,-3.83828,6654.22,-3.56323,-286.308
-32.7107,200.467,-7.59248,-0.243593,-2.11844,-1.85344,6654.22,-3.56323,-286.308
-32.6776,177.476,-12.989,-0.324375,-1.96342,-2.14971,6654.22,-3.56323,-286.308
-29.0901,89.965,-36.2958,-1.20545,-1.42429,-3.32566,6654.22,-3.56323,-286.308
-26.9624,29.0435,-52.028,-2.1045,-1.27266,-3.84562,6654.22,-3.56323,-286.308
-27.7068,57.0018,-44.8404,-1.70847,-1.30421,-3.68029,6654.22,-3.56323,-286.308
-32.6317,174.952,-13.1696,-0.337868,-1.95403,-2.18077,6654.22,-3.56323,-286.308
-30.2343,117.04,-28.5091,-0.827547,-1.58402,-2.97332,6654.22,-3.56323,-286.308
-26.9459,26.3547,-52.1432,-2.11602,-1.27469,-3.85281,6654.22,-3.56323,-286.308
-28.7895,84.6284,-37.0256,-1.26061,-1.40633,-3.39387,6654.22,-3.56323,-286.308
-32.651,172.447,-13.2465,-0.347472,-1.9442,-2.21062,6654.22,-3.56323,-286.308
-31.5857,143.724,-20.6241,-0.564913,-1.76802,-2.59188,6654.22,-3.56323,-286.308
-28.6545,81.9615,-37.3645,-1.28941,-1.3975,-3.42516,6654.22,-3.56323,-286.308
-26.9285,23.6614,-52.2606,-2.12578,-1.27777,-3.85742,6654.22,-3.56323,-286.308
-32.6188,169.919,-13.3999,-0.364413,-1.93799,-2.23497,6654.22,-3.56323,-286.308
-27.3129,48.8756,-45.8085,-1.78113,-1.29358,-3.74725,6654.22,-3.56323,-286.308
-29.8022,109.162,-29.5355,-0.887187,-1.54749,-3.08125,6654.22,-3.56323,-286.308
-32.6294,190.495,-8.08914,-0.244926,-2.07215,-1.99389,6654.22,-3.56323,-286.308
-32.604,167.401,-13.523,-0.37588,-1.92747,-2.26373,6654.22,-3.56323,-286.308
-28.3812,76.6166,-38.0448,-1.34347,-1.3813,-3.48725,6654.22,-3.56323,-286.308
-32.5714,187.983,-8.27618,-0.252722,-2.06263,-2.02412,6654.22,-3.56323,-286.308
-26.908,18.279,-52.4498,-2.13716,-1.28446,-3.86239,6654.22,-3.56323,-286.308
-27.0679,43.4499,-46.4111,-1.82351,-1.29022,-3.78767,6654.22,-3.56323,-286.308
-29.5403,103.9,-30.1806,-0.930063,-1.5282,-3.14952,6654.22,-3.56323,-286.308
-32.4314,162.312,-14.0025,-0.39719,-1.90765,-2.33574,6654.22,-3.56323,-286.308
-26.9527,40.7372,-46.6991,-1.84335,-1.28718,-3.80534,6654.22,-3.56323,-286.308
